course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
GEOG-G485,GEOG,G485,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G489,GEOG,G489,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHYS-P310,PHYS,P310,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E402,SPEA,E402,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E426,SPEA,E426,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E470,SPEA,E470,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-X490,BIOL,X490,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-X498,EAS,X498,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-X490,GEOG,X490,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E490,SPEA,E490,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A450,SPEA,A450,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A163,SPEA,A163,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A439,SPEA,A439,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A431,SPEA,A431,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V252,SPEA,V252,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V381,SPEA,V381,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A400,SPEA,A400,,,,,,Undergraduate,IUB,,,,,,,,,,,
EDUC-A308,EDUC,A308,,,,,,Undergraduate,IUB,,,,,,,,,,,
EDUC-H200,EDUC,H200,,,,,,Undergraduate,IUB,,,,,,,,,,,
EDUC-H205,EDUC,H205,,,,,,Undergraduate,IUB,,,,,,,,,,,
EDUC-H340,EDUC,H340,,,,,,Undergraduate,IUB,,,,,,,,,,,
LATS-L380,LATS,L380,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOC-S312,SOC,S312,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V263,SPEA,V263,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-B371,BIOL,B371,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L433,BIOL,L433,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E435,EAS,E435,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-J375,BUS,J375,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-P300,BUS,P300,,,,,,Undergraduate,IUB,,,,,,,,,,,
ECON-E321,ECON,E321,,,,,,Undergraduate,IUB,,,,,,,,,,,
