course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
INFO-I363,INFO,I363,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I365,INFO,I365,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W212,BUS,W212,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-W300,BUS,W300,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-Z302,BUS,Z302,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M212,MATH,M212,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHYS-P221,PHYS,P221,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHYS-P222,PHYS,P222,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M365,MATH,M365,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S320,STAT,S320,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E299,ENGR,E299,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E332,ENGR,E332,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-Y395,ENGR,Y395,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-E449,MATH,E449,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E490,ENGR,E490,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E491,ENGR,E491,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-H212,CSCI,H212,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-Y395,CSCI,Y395,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A290,CSCI,A290,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-Y391,CSCI,Y391,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-Y499,CSCI,Y499,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-H498,CSCI,H498,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E321,ENGR,E321,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I494,INFO,I494,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I495,INFO,I495,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M471,MATH,M471,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M472,MATH,M472,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-T336,MATH,T336,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-T403,MATH,T403,,,,,,Undergraduate,IUB,,,,,,,,,,,
ECON-E370,ECON,E370,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHIL-P251,PHIL,P251,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B456,CSCI,B456,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B401,CSCI,B401,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P415,CSCI,P415,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C311,CSCI,C311,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M301,MATH,M301,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M303,MATH,M303,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B504,CSCI,B504,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M453,MATH,M453,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-C210,MSCH,C210,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G300,MSCH,G300,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C460,CSCI,C460,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C470,CSCI,C470,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C290,CSCI,C290,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B481,CSCI,B481,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P438,CSCI,P438,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P423,CSCI,P423,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B441,CSCI,B441,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P424,CSCI,P424,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P436,CSCI,P436,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M213,MATH,M213,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C322,CSCI,C322,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P466,CSCI,P466,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P400,CSCI,P400,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P545,CSCI,P545,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B443,CSCI,B443,,,,,,Undergraduate,IUB,,,,,,,,,,,
ANTH-A306,ANTH,A306,,,,,,Undergraduate,IUB,,,,,,,,,,,
CJUS-K300,CJUS,K300,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y395,POLS,Y395,,,,,,Undergraduate,IUB,,,,,,,,,,,
PSY-K300,PSY,K300,,,,,,Undergraduate,IUB,,,,,,,,,,,
PSY-K310,PSY,K310,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOC-S371,SOC,S371,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-K300,SPEA,K300,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-Q381,SPH,Q381,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-K310,STAT,K310,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S300,STAT,S300,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S301,STAT,S301,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S303,STAT,S303,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I454,INFO,I454,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHIL-P141,PHIL,P141,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHIL-P242,PHIL,P242,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHIL-P340,PHIL,P340,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHIL-P342,PHIL,P342,,,,,,Undergraduate,IUB,,,,,,,,,,,
REL-R170,REL,R170,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-Y395,INFO,Y395,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I301,INFO,I301,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I320,INFO,I320,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I356,INFO,I356,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I403,INFO,I403,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I457,INFO,I457,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I485,INFO,I485,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I486,INFO,I486,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I499,INFO,I499,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I491,INFO,I491,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I489,INFO,I489,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I493,INFO,I493,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-K303,BUS,K303,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-K327,BUS,K327,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-S302,BUS,S302,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-S307,BUS,S307,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-S308,BUS,S308,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-S310,BUS,S310,,,,,,Undergraduate,IUB,,,,,,,,,,,
CJUS-P300,CJUS,P300,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G400,MSCH,G400,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G410,MSCH,G410,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G420,MSCH,G420,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G430,MSCH,G430,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-G450,MSCH,G450,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-H300,MSCH,H300,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-J300,MSCH,J300,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-J360,MSCH,J360,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-J448,MSCH,J448,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-L322,MSCH,L322,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-L425,MSCH,L425,,,,,,Undergraduate,IUB,,,,,,,,,,,
MSCH-M421,MSCH,M421,,,,,,Undergraduate,IUB,,,,,,,,,,,
